"Bore no","Name","Bore report","Yield (L/s)","Completion date","Drilled depth (m)","Completion depth (m)","Depth to water (m) at date of drilling","Purpose","Construction","Status","Latitude","Longitude","UTM zone","Easting","Northing","Position accuracy","Water data portal"
"RN013611","RN13611 No21. FORESTRY BLOCK.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013611,0,1982-08-13 00:00:00.0,1.6,0,0,"Monitoring",,"Current",-23.741405,133.839055,53,381679,7373920,"Estimated",
"RN041584","NT Portion 3171 (240 Landsdowne Road) Katherine",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041584,1.5,2020-05-16 00:00:00.0,64,64,15,,"Constructed&Capped","Current",-14.470427,132.387069,53,218325,8398640,"GPS",
"RN013612","W.R.B.OBS BORE 15M (N) OF SE GATE TO GROUND",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013612,0,1982-09-23 00:00:00.0,7.1,0,0,"Monitoring",,"Current",-23.741829,133.867023,53,384530,7373896,"GPS",
"RN038544","G.A. & D.J. Redpath",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038544,,,,,,"Unknown",,"Current",-12.800359,131.028347,52,720173,8584078,"GPS",
"RN041583","NT Portion 5887 (36 Hall Road) Katherine",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041583,3,2020-05-11 00:00:00.0,54,54,18,,"Constructed&Capped","Current",-14.432745,132.216254,53,199848,8402595,"GPS",
"RN013617","DONS BORE NO2 0.2LPS DUD N/TRC 4km (NE) OF DONS BORE No",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013617,0.02,1983-06-21 00:00:00.0,49.6,0,45,"Production","Not Found","Historical",-22.263889,131.916071,52,800532,7535065,"Estimated",
"RN038545","M.W. & L.J. Chick",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038545,,1994-06-03 00:00:00.0,45,42,,"Production",,"Current",-12.548808,131.116359,52,729956,8611836,"GPS",
"RN041587","NT Potion 2666 Birrimba Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041587,,2020-06-12 00:00:00.0,178,0,,,"Backfilled","Historical",-16.677711,132.335298,53,215794,8154200,"On Block",
"RN042632","95 Deloraine Rd, Kuckey Lagoon",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042632,,2021-11-19 00:00:00.0,84,0,,,"Casing Pulled/Filled","Historical",-12.411051,130.967475,52,713886,8627203,"GPS",
"RN013619","NO14 REPL OF RN 1201 44M ESE OF RN 1201",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013619,1.5,1966-01-01 00:00:00.0,67.3,67.3,0,"Production","Abandoned","Historical",-19.084652,134.7654,53,475321,7889789,"GPS",
"RN038546","C.M. Klein",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038546,,2014-07-07 00:00:00.0,0,0,,"Production",,"Current",-12.612261,131.143361,52,732834,8604791,"GPS",
"RN041585","NT Portion 2560 Helena Rd, Katherine",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041585,1,2020-05-20 00:00:00.0,58,58,20,,"Constructed&Capped","Current",-14.494598,132.181441,53,196176,8395701,"GPS",
"RN042631","90 Smyth Rd, Howard Springs",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042631,1.5,2021-11-16 00:00:00.0,84,84,13,,"Constructed&Capped","Current",-12.50512,131.042748,52,721992,8616733,"GPS",
"RN013615","DDH HUCK 2 MINES EXP 3"PVC N/T 5K STH OF NO7 RN 626",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013615,0,1982-07-09 00:00:00.0,268.7,0,0,"Production",,"Current",-22.422134,136.214371,53,624981,7519942,"Estimated",
"RN038547","Power and Water Corperation",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038547,,2014-06-01 00:00:00.0,13.6,13.6,,"Investigation","Observation","Current",-13.847925,131.822099,52,805070,8467293,"GPS",
"RN041589","NT Portion 2666 Birrimba Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041589,,2020-06-14 00:00:00.0,228,0,,,"Backfilled","Historical",-16.260694,132.399032,53,222001,8200460,"GPS",
"RN042630","NT Portion 3412Litchfield Park Rd, Finniss River",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042630,2,2021-11-11 00:00:00.0,42,42,7,,"Constructed&Capped","Current",-12.974757,130.781731,52,693261,8564981,"GPS",
"RN013616","SALT BUSH WELL  [ABD] 700M ENE OF SALT BORE RN 2459",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013616,0,1932-01-01 00:00:00.0,15,0,0,"Unknown",,"Current",-23.143154,133.962792,53,393814,7440255,"GPS",
"RN038548","Power and Water Corperation",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038548,,2014-05-28 00:00:00.0,7.3,7.3,,"Investigation","Observation","Current",-13.847935,131.822072,52,805067,8467292,"GPS",
"RN041588","NT Portion 2666 Birrimba Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041588,,2020-06-17 00:00:00.0,228,0,,,"Backfilled","Historical",-16.272082,132.429133,53,225236,8199240,"GPS",
"RN042629","935 Channel Island Rd, Wickham Section 1816",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042629,,2022-11-04 00:00:00.0,3.5,3.5,,,"Constructed&Capped","Current",-12.583068,130.953576,52,712234,8608182,"GPS",
"RN026080","EARTHMOVING NO 3 DUNDEE DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN026080,4.5,1988-08-23 00:00:00.0,18,18,5,"Production","Constructed&Capped","Current",-12.71673,130.349152,52,646480,8593810,"Estimated",
"RN042636","133 Banyan Rd, Eva Valley",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042636,6,2022-05-18 00:00:00.0,60,60,10.5,,"Constructed&Capped","Current",-13.12195,131.020682,52,719059,8548501,"GPS",
"RN026079","AUSTRALIAN STN A=88/138 MUNGABROOM STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN026079,0,1988-11-19 00:00:00.0,152,152,90,"Production","Constructed&Capped","Current",-17.686772,134.491327,53,446056,8044396,"Estimated",
"RN042635","1464 Banyan Rd Eva Va",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042635,2.5,2022-05-16 00:00:00.0,55,55,10,,"Constructed&Capped","Current",-13.119694,131.025984,52,719636,8548746,"GPS",
"RN042634","NT Portion 4564 Whitewood Rd, Howard Springs",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042634,2,2021-11-30 00:00:00.0,72,72,14,,"Constructed&Capped","Current",-12.495013,131.039532,52,721651,8617854,"GPS",
"RN026081","EARTHMOVING NO 4 DUNDEE DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN026081,10,1988-08-24 00:00:00.0,18,18,0,"Production","Constructed&Capped","Current",-12.729579,130.355896,52,647205,8592385,"GPS",
"RN042633","NT Portion 2637 Leonina Rd, Fly Creek",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042633,4,2021-11-24 00:00:00.0,48,48,10,,"Constructed&Capped","Current",-12.801555,131.091512,52,727031,8583891,"GPS",
"RN042638","106 Banyan Road Eva Valley",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042638,2.8,2022-05-24 00:00:00.0,54,54,10.5,,"Constructed&Capped","Current",-13.118566,131.018865,52,718865,8548877,"GPS",
"RN042637","530 Miles Road Eva Valley",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042637,1.5,2022-05-20 00:00:00.0,54,54,20,,"Constructed&Capped","Current",-13.112873,131.007275,52,717613,8549517,"GPS",
"RN026072","DCD GOOLMINIYI O/STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN026072,0,1988-10-28 00:00:00.0,120.5,0,0,"Unknown","Backfilled","Historical",-16.156279,136.09458,53,617025,8213467,"Estimated",
"RN026074","3/88 GOOLMINIYI O/STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN026074,0,1988-10-31 00:00:00.0,110,0,0,"Unknown","Backfilled","Historical",-16.156279,136.094589,53,617026,8213467,"Estimated",
"RN026073","2/88 GOOLMINIYI O/STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN026073,0,1988-10-29 00:00:00.0,110,0,0,"Unknown","Backfilled","Historical",-16.15627,136.09458,53,617025,8213468,"Estimated",
"RN026076","AUSTRALIAN STN A/88 MUNGABROOM STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN026076,0,1988-11-07 00:00:00.0,152,152,0,"Production","Constructed&Capped","Current",-17.583689,134.40779,53,437161,8055774,"Estimated",
"RN026075","EVA DOWNS STATION BORE BILLYCAN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN026075,1.5,1988-11-06 00:00:00.0,119.5,119.5,65,"Production",,"Current",-17.879083,134.553772,53,452729,8023136,"GPS",
"RN026078","AUSTRALIAN STN C/88 MUNGABROON STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN026078,0,1988-11-12 00:00:00.0,165,165,115,"Production","Constructed&Capped","Current",-17.600441,134.436924,53,440258,8053930,"Estimated",
"RN026077","AUSTRALIAN STN B/88 MUNGABROOM STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN026077,0.3,1988-11-09 00:00:00.0,152,152,0,"Production","Constructed&Capped","Current",-17.579969,134.459491,53,442646,8056202,"Estimated",
"RN038549","Power and Water Corperation",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038549,,2014-05-27 00:00:00.0,11.5,11.5,,"Investigation","Observation","Current",-13.847827,131.822033,52,805063,8467304,"GPS",
