"Bore no","Name","Bore report","Yield (L/s)","Completion date","Drilled depth (m)","Completion depth (m)","Depth to water (m) at date of drilling","Purpose","Construction","Status","Latitude","Longitude","UTM zone","Easting","Northing","Position accuracy","Water data portal"
"RN016148","Old Monitoring Bore Wilora Community (Now Production)",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016148,2,1992-03-14 00:00:00.0,89.2,51.4,9.5,"Unknown","Constructed&Capped","Current",-21.733555,133.753453,53,371084,7596145,"GPS",
"RN013465","Aileron Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013465,8,1982-08-31 00:00:00.0,147.8,0,0,"Monitoring","Constructed&Capped","Current",-22.67541,133.784663,53,375148,7491901,"GPS",
"RN016147","Old Monitoring Bore Wilora Community Stirling Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016147,1.4,1992-03-13 00:00:00.0,27.8,27.8,9,"Production","Equipped","Current",-21.726573,133.76089,53,371847,7596924,"GPS",
"RN018327","Investigation Bore Arden Soak Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018327,,2007-04-19 00:00:00.0,21.4,0,,"Investigation","Backfilled","Historical",-22.346587,133.32788,53,327807,7527854,"GPS",
"RN013466","Aileron Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013466,2,1981-08-31 00:00:00.0,111,111,0,"Monitoring","Constructed&Capped","Current",-22.689218,133.759612,53,372587,7490351,"GPS",
"RN016146","Territory Grape Farm Production Bore",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016146,0,1992-03-13 00:00:00.0,74,69.5,0,"Production","Equipped-Diesel","Current",-22.459225,133.634289,53,359479,7515702,"Surveyed",
"RN018328","Investigation Bore Arden Soak Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018328,,2007-04-19 00:00:00.0,2.1,0,,"Investigation","Backfilled","Historical",-22.346453,133.327163,53,327733,7527868,"GPS",
"RN017419","Investigation Bore Woodgreen Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017419,20,2000-08-01 00:00:00.0,85.7,80.3,26.83,"Investigation","Constructed&Capped","Current",-22.55155,133.864458,53,383242,7505678,"GPS",
"RN017421","Woodgreen Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017421,10,2000-08-04 00:00:00.0,84.8,85.9,26.97,"Monitoring","Constructed&Capped","Current",-22.540861,133.8751,53,384327,7506870,"GPS",
"RN019730","Production Bore Oolloo Farm",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN019730,15,2018-07-24 00:00:00.0,72,71,10.8,"Production","Constructed&Capped","Current",-22.333941,133.669464,53,362976,7529605,"GPS",
"RN017420","Investigation Bore Woodgreen Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017420,15,2000-08-02 00:00:00.0,79.6,49.3,19.93,"Investigation","Constructed&Capped","Current",-22.510462,133.870747,53,383854,7510232,"GPS",
"RN018329","Investigation Bore Arden Soak Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018329,,2007-04-20 00:00:00.0,21.5,0,,"Investigation","Backfilled","Historical",-22.346218,133.327185,53,327735,7527894,"GPS",
"RN019731","Production Bore Oolloo Farm",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN019731,7,2018-07-25 00:00:00.0,72,72,11.7,"Production","Constructed&Capped","Current",-22.343925,133.66866,53,362903,7528499,"GPS",
"RN012612","WRB INV 24 KM S & 6.7 KM E OF TI-TREE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012612,0,1980-09-22 00:00:00.0,52.7,0,0,"Investigation",,"Current",-22.500829,133.411763,53,336628,7510870,"Estimated",
"RN018330","Investigation Bore Tin Fish Stirling Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018330,,2007-04-21 00:00:00.0,8.8,8.7,,"Investigation","Constructed&Capped","Current",-21.905963,133.853741,53,381599,7577140,"GPS",
"RN018331","Investigation Bore Arden Soak Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018331,,2007-04-23 00:00:00.0,21.5,0,,"Investigation","Backfilled","Historical",-22.348894,133.337066,53,328756,7527609,"GPS",
"RN017425","Investigation Bore Woodgreen Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017425,14,2000-08-08 00:00:00.0,73.3,45,7.48,"Investigation","Constructed&Capped","Current",-22.394686,133.891238,53,385867,7523065,"GPS",
"RN017424","Investigation Bore Woodgreen Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017424,1.3,2000-08-07 00:00:00.0,61.2,61,0,"Investigation","Constructed&Capped","Current",-22.470215,133.879369,53,384707,7514694,"GPS",
"RN004184","QUEENSLAND GULLY BORE U/S 3-5K S/E OF MT ESTHER RN 3248",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004184,,,34.1,0,,"Unknown",,"Current",-21.933887,133.398937,53,334645,7573628,"GPS",
