Bore no,Name,Bore report,Yield (L/s),Completion date,Drilled depth (m),Completion depth (m),Depth to water (m) at date of drilling,Purpose,Construction,Status,Latitude,Longitude,UTM zone,Easting,Northing,Position accuracy,Water data portal
RN016683,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016683,10,00:00.0,71.5,66.9,26.12,Monitoring,Constructed&Capped,Current,-22.266826,133.382369,53,333325,7536747,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016683/Interval/Latest
RN010673,Monitoring Bore Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN010673,6,00:00.0,75.7,0,0,Monitoring,Constructed&Capped,Current,-22.207904,133.428574,53,338019,7543321,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN010673/Interval/Latest
RN014188,Pine Hill Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN014188,15,00:00.0,57,54,17.2,Monitoring,Constructed&Capped,Current,-22.469278,133.57693,53,353587,7514534,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN014188/Interval/Latest
RN005723,Monitoring Bore Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN005723,8.4,00:00.0,61,0,0,Monitoring,,Current,-22.201708,133.413716,53,336480,7543991,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN005723/Interval/Latest
RN005724,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN005724,7.5,00:00.0,61.6,61.6,0,Monitoring,Constructed&Capped,Current,-22.243055,133.41361,53,336517,7539413,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN005724/Interval/Latest
RN018900,Monitoring Bore Bushy Park Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018900,1,00:00.0,88.1,91.6,52.35,Investigation,Constructed&Capped,Current,-22.674115,133.937935,53,390894,7492165,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN018900/Interval/Latest
RN005725,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN005725,8.8,00:00.0,61.6,0,0,Monitoring,Constructed&Capped,Current,-22.243172,133.413609,53,336517,7539400,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN005725/Interval/Latest
RN014409,Monitoring Bore Territory Grape Farm,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN014409,7,00:00.0,69,65,16.4,Monitoring,Constructed&Capped,Current,-22.449311,133.659504,53,362064,7516823,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN014409/Interval/Latest
RN018912,Monitoring Bore Bushy Park Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018912,1,00:00.0,73.3,73.3,46.97,Investigation,Constructed&Capped,Current,-22.741472,133.936568,53,390807,7484707,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN018912/Interval/Latest
RN005507,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN005507,4.5,00:00.0,67.4,0,0,Monitoring,Constructed&Capped,Current,-22.222336,133.41363,53,336495,7541707,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN005507/Interval/Latest
RN005506,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN005506,0.6,00:00.0,36.9,0,0,Monitoring,Constructed&Capped,Current,-22.146624,133.41383,53,336428,7550090,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN005506/Interval/Latest
RN012581,Woodgreen Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012581,10,00:00.0,162.6,162.6,0,Monitoring,Constructed&Capped,Current,-22.43375,133.752072,53,371576,7518628,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN012581/Interval/Latest
RN013926,Pine Hill Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013926,10,00:00.0,57,57,27.27,Monitoring,Constructed&Capped,Current,-22.511092,133.573353,53,353263,7509901,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN013926/Interval/Latest
RN013927,Pine Hill Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013927,5.5,00:00.0,82,0,0,Monitoring,Constructed&Capped,Current,-22.502675,133.523302,53,348105,7510783,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN013927/Interval/Latest
RN013924,Pine Hill Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013924,10,00:00.0,88,88,0,Monitoring,Constructed&Capped,Current,-22.393565,133.50912,53,346526,7522849,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN013924/Interval/Latest
