distance_km,id_or_name,lat,lon,source_file
27.398,RN005330,-22.132786,133.405113,Bores_Ti_Tree.csv
27.434,RN003374,-22.375305,133.057209,Bores_Ti_Tree.csv
27.434,RN001601,-22.375305,133.057209,Bores_Ti_Tree.csv
27.443,RN005466,-22.132801,133.406596,Bores_Ti_Tree.csv
27.446,RN018760,-22.597482,133.227084,Bores_Ti_Tree.csv
27.463,RN018762,-22.598288,133.228893,Bores_Ti_Tree.csv
27.468,RN018761,-22.598361,133.22895,Bores_Ti_Tree.csv
27.477,RN015649,-22.375932,133.056812,Bores_Ti_Tree.csv
27.602,RN005534,-22.132506,133.410521,Bores_Ti_Tree.csv
27.681,RN005474,-22.132872,133.413973,Bores_Ti_Tree.csv
27.692,RN000448,-22.132743,133.413908,Bores_Ti_Tree.csv
27.695,RN010578,-22.132716,133.413908,Bores_Ti_Tree.csv
27.714,RN002450,-22.124806,133.262224,Bores_Ti_Tree.csv
27.724,RN002449,-22.124501,133.263246,Bores_Ti_Tree.csv
27.730,RN005533,-22.132887,133.415456,Bores_Ti_Tree.csv
27.807,RN005527,-22.132908,133.417675,Bores_Ti_Tree.csv
27.813,RN005586,-22.118944,133.354798,Bores_Ti_Tree.csv
27.880,RN003392,-22.130768,133.413349,Bores_Ti_Tree.csv
27.884,RN005530,-22.13293,133.419886,Bores_Ti_Tree.csv
27.926,RN005467,-22.132941,133.421068,Bores_Ti_Tree.csv
27.946,RN005085,-22.131485,133.417412,Bores_Ti_Tree.csv
27.948,RN010548,-22.131207,133.41664,Bores_Ti_Tree.csv
27.948,RN003388,-22.129857,133.412535,Bores_Ti_Tree.csv
27.951,RN005532,-22.131301,133.417026,Bores_Ti_Tree.csv
27.951,RN013931,-22.368418,133.5957,Bores_Ti_Tree.csv
27.974,RN002451,-22.190399,133.517045,Bores_Ti_Tree.csv
27.982,RN005531,-22.133159,133.423181,Bores_Ti_Tree.csv
27.986,RN006042,-22.376279,133.051874,Bores_Ti_Tree.csv
28.010,RN002284,-22.132803,133.422923,Bores_Ti_Tree.csv
28.012,RN004640,-22.45934,133.577595,Bores_Ti_Tree.csv
28.021,RN003391,-22.130763,133.41742,Bores_Ti_Tree.csv
28.026,RN003389,-22.128716,133.411287,Bores_Ti_Tree.csv
28.042,RN012596,-22.241403,133.559981,Bores_Ti_Tree.csv
28.048,RN010547,-22.130445,133.41723,Bores_Ti_Tree.csv
28.055,RN043487,-22.128874,133.412652,Bores_Ti_Tree.csv
28.085,RN012994,-22.39278,133.052111,Bores_Ti_Tree.csv
28.116,RN010546,-22.129906,133.417575,Bores_Ti_Tree.csv
28.120,RN005625,-22.140038,133.443452,Bores_Ti_Tree.csv
28.130,RN010972,-22.129808,133.417664,Bores_Ti_Tree.csv
28.140,RN001856,-22.129587,133.417288,Bores_Ti_Tree.csv
28.173,RN001600,-22.381136,133.050282,Bores_Ti_Tree.csv
28.233,RN016826,-22.12943,133.41945,Bores_Ti_Tree.csv
28.249,RN012560,-22.367712,133.049159,Bores_Ti_Tree.csv
28.262,RN010925,-22.12832,133.417002,Bores_Ti_Tree.csv
28.346,RN012561,-22.38577,133.048907,Bores_Ti_Tree.csv
28.346,RN012564,-22.38577,133.048907,Bores_Ti_Tree.csv
28.370,RN014188,-22.469278,133.57693,Bores_Ti_Tree.csv
28.383,RN012595,-22.242942,133.564742,Bores_Ti_Tree.csv
